variable,best_distribution,AIC,KS_pvalue,parameters
Rainmm,gamma,-1484430.7389770108,0.0,"(0.0658849340971829, -8.205501780284946e-29, 1.5376364878091078)"
WindSpeedkmPerH,betta,112913.46570055865,5.423346259052695e-05,"(2.728908255535082, 5.894410213312927, -0.7784591233320278, 41.90532643456055)"
TemperatureDegreeCelcius,betta,118563.90706934119,2.374857410765711e-07,"(4.6155032568368775, 5.249077900312718, -13.466443306787648, 47.28462248807465)"
CloudCoverPercentage,betta,-281418.4268766514,0.0,"(0.2801515242228997, 0.14014097952364055, -10.344454948330736, 110.34445494833075)"
Snowfallcm,gamma,-2145142.780019874,0.0,"(0.03464217454503656, -8.01085387693593e-31, 0.7471481230658522)"
